ParkID,Park,Score,Facility Type,Facility Name,Address,State,Zipcode,Square Feet,Perimeter Length(ft),Acres,Longitude,Latitude
150,Joe DiMaggio North Beach Playground,0.8490000000000001,Restroom,Washington Square Bathrooms,Filbert & Stockton & Columbus,CA,94133,287.28,83.94,0.01,-122.41063078,37.80105784
94,Golden Gate Park,0.956,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
94,Golden Gate Park,0.9640000000000001,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
94,Golden Gate Park,0.7240000000000001,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
94,Golden Gate Park,0.9359999999999999,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
132,Moscone Recreation Center,0.774,Restroom,GGP5 Hellman Hollow Restrooms (frmrly Speedway M,Stanyan & Great Hwy,CA,94117,"1,003.96",126.83,0.02,-122.4846926,37.76952984
81,Buena Vista Park,0.619,Basketball Court,Mission Dolores Basketball Courts,19th & Dolores St,CA,94110,"6,114.34",324.17,0.14,-122.42739885,37.76103393
195,Peixotto Playground,0.77,Clubhouse,McCoppin Square Clubhouse,24th & Taraval,CA,94116,"1,220.97",186.16,0.03,-122.48075768,37.743533
94,Golden Gate Park,0.858,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
94,Golden Gate Park,1.0,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
193,Esprit Park,0.875,Clubhouse,MS Hayward Historic Clubhouse,1016 Laguna,CA,94102,"1,016.87",169.68,0.02,-122.42668959,37.7807431
113,Duboce Park,0.9179999999999999,Restroom,Larsen Restrooms,19th Ave & Vicente,CA,94116,323.65,77.39,0.01,-122.47604401,37.73945888
37,Precita Park,0.935,Ball Field,Upper Noe Ball Fields,Day & Sanchez St,CA,94131,"41,131.46",843.26,0.94,-122.42748055,37.74242329
167,Midtown Terrace Playground,0.968,Activity Center,GGP5 Anglers Lodge,Stanyan & Great Hwy,CA,94117,"2,013.01",212.44,0.05,-122.49656408,37.76799666
78,Mt. Olympus,0.9520000000000001,Basketball Court,Michelangelo Basketball Courts,Greenwich & Jones,CA,94133,"4,157.34",255.55,0.10,-122.41675033,37.80101867
197,Topaz Open Space,0.0,Clubhouse,Midtown Terrace Clubhouse,Clarendon & Olympia Way,CA,94131,"2,250.32",210.46,0.05,-122.45586793,37.7515958
63,Mission Dolores Park,0.953,Basketball Court,Head/Brotherhood Basketball Courts,Head St & Brotherhood Way,CA,94112,"5,011.46",296.28,0.12,-122.46417493,37.7126251
199,Coso-Precita Mini Park,1.0,Maintenance Facility,Mission Dolores Park Maintenance Building,19th & Dolores St,CA,94110,"1,172.48",140.29,0.03,-122.42685893,37.75962315
176,Mullen-Peralta Mini Park,1.0,Activity Center,GGP1 Sharon Arts Studio,Sharon Meadow,CA,94117,"8,482.90",513.54,0.19,-122.4582116,37.76827229
19,Minnie & Lovie Ward Recreation Center,0.547,Ball Field,Louis Sutter PG Ball Fields,Mansell & Visitacion,CA,94134,"111,951.52","1,514.10",2.57,-122.41348022,37.72310926
170,Woh Hei Yuen Park,0.862,Activity Center,GGP3 County Fair Bldg,Stanyan & Great Hwy,CA,94117,"28,191.72","1,359.81",0.65,-122.46716526,37.76656383
139,Willie Woo Woo Wong Playground,0.943,Restroom,Lower Great Highway Judah Restrooms,Great Hwy & Noriega,CA,94122,"1,844.32",190.93,0.04,-122.50955359999999,37.76024004
85,South Sunset Playground,0.909,Basketball Court,Joe Dimaggio Basketball Courts,651 Lombard St,CA,94133,"8,238.45",368.90,0.19,-122.41205791,37.8024484
88,McCoppin Square,0.919,Basketball Court,Parkside Square Basketball Courts,28th Ave & Vicente,CA,94116,"2,332.73",203.41,0.05,-122.48342987,37.73875894
194,29th Street-Diamond Open Space,1.0,Clubhouse,MS Hayward Clubhouse,1016 Laguna,CA,94102,"1,365.16",192.08,0.03,-122.42689899,37.78066418
203,Broadway Tunnel West Mini Park,0.909,Picnic Area,Pine Lake Park Picnic Areas,Sloat Blvd & Vale St,CA,94116,"1,360.96",151.88,0.03,-122.48736957,37.73608483
136,St. Mary's Square,1.0,Restroom,Jefferson Square Bathrooms,Eddy & Gough,CA,94109,449.39,90.24,0.01,-122.42546457,37.78153236
202,Utah-18th Street Mini Park,0.474,Clubhouse,Pine Lake Park Clubhouse,Sloat Blvd & Vale St,CA,94116,"1,707.81",191.99,0.04,-122.48719667,37.73602297
55,Franklin Square,0.174,Basketball Court,Crocker Amazon Basketball Courts,Moscow & Italy St,CA,94112,"16,364.79",724.78,0.38,-122.43084993,37.71474057
180,Sunnyside Conservatory,0.645,Clubhouse,Grattan Clubhouse,1180 Stanyan St,CA,94117,"2,468.97",240.15,0.06,-122.45197204,37.76269549
66,Balboa Park,0.887,Basketball Court,J. P. Murphy Basketball Courts,1960 9th Ave,CA,94116,"5,492.96",305.77,0.13,-122.46492925,37.75169429
191,Kid Power Park,1.0,Clubhouse,Laurel Hill Clubhouse,Euclid & Collins St,CA,94118,"1,340.12",184.90,0.03,-122.45120921,37.78370026
94,Golden Gate Park,0.804,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
94,Golden Gate Park,0.7559999999999999,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
94,Golden Gate Park,0.754,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
46,Adam Rogers Park,0.508,Basketball Court,Bernal Hts RC  Basketball Courts,500 Moultrie St,CA,94110,"3,530.33",244.47,0.08,-122.41633421,37.73824803
47,Hilltop Park,0.63,Basketball Court,Victoria Manalo DravesBsktball Crts,Folsom & Sherman St,CA,94103,"7,339.79",361.09,0.17,-122.40660765,37.77738554
103,Lincoln Park,0.6940000000000001,Basketball Court,Walter Haas Basketball Courts,Addison & Farnum,CA,94131,"4,080.70",264.14,0.09,-122.43480806,37.74043202
48,India Basin Shoreline Park,0.7340000000000001,Basketball Court,Boeddeker Park Basketball Courts,295 Eddy St,CA,94102,"2,591.24",203.79,0.06,-122.41243003,37.78432754
189,Ridgetop Plaza,0.76,Clubhouse,Junipero Serra Clubhouse,300 Stonecrest Dr,CA,94132,"1,809.03",222.39,0.04,-122.47409921,37.725086700000006
91,West Sunset Playground,0.9420000000000001,Basketball Court,Presidio Heights Basketball Courts,Clay & Walnut St,CA,94118,"6,165.97",320.02,0.14,-122.44947936,37.78852017
59,Mission Recreation Center,1.0,Basketball Court,Gilman Basketball Courts,Gilman Ave & Griffith,CA,94124,"4,238.10",269.29,0.10,-122.38856943,37.71697286
130,Helen Wills Playground,0.9179999999999999,Restroom,GGP4 Rose Garden Bathroom,Stanyan & Great Hwy,CA,94117,"1,693.33",167.50,0.04,-122.47201293,37.77151676
24,Garfield Square,0.705,Ball Field,McCoppin Ball Fields,24th & Taraval,CA,94116,"77,985.77","1,152.14",1.79,-122.47987668,37.74401981
50,James Rolph Jr. Playground,0.855,Basketball Court,Cabrillo Basketball Courts,38th Ave  &  Cabrillo,CA,94121,"7,295.76",488.95,0.17,-122.49870696,37.77278236
49,Potrero del Sol Park,0.841,Basketball Court,Buchanan St. Mall Basketball Crts,Buchanan & Grove,CA,94102,"2,246.38",192.14,0.05,-122.42861057,37.77961618
14,Lessing-Sears Mini Park,0.615,Ball Field,GGP2 Big Rec Ball Fields,Stanyan & Great Hwy,CA,94117,"338,875.05","2,546.55",7.78,-122.46453564,37.76739107
15,Cayuga Playground,0.815,Ball Field,Holly ball fields,Holly Park Circle,CA,94110,"41,701.51",811.86,0.96,-122.41988213,37.73755457
25,Alice Chalmers Playground,0.925,Ball Field,Miraloma ball fields,Omar & Sequoia Way,CA,94127,"47,658.91",875.96,1.09,-122.4493957,37.73853897
53,McKinley Square,0.905,Basketball Court,Basketball Courts,Washington & Mason St,CA,94108,"4,599.32",285.19,0.11,-122.41204267,37.79411551
97,Argonne Playground,0.9259999999999999,Basketball Court,South Sunset Basketball Courts,40th Ave & Vicente St,CA,94116,"12,719.85",451.65,0.29,-122.49851407,37.73781117
155,Muriel Leff Mini Park,0.9740000000000001,Clubhouse,Argonne: Clubhouse,18th Ave  &  Geary Blvd,CA,94121,"1,629.31",213.18,0.04,-122.47766682,37.77958789
148,Michelangelo Playground,0.9590000000000001,Restroom,St Mary's Square Bathrooms,California St & Grant St,CA,94108,448.58,94.36,0.01,-122.40507908,37.79171479
146,Hyde-Vallejo Mini Park,1.0,Restroom,Parkside Square Bathrooms,28th Ave & Vicente,CA,94116,402.59,84.46,0.01,-122.48370969,37.73833246
123,Sgt. John Macaulay Park,0.762,Restroom,GGP1 Horseshoe Pits Bathroom,Stanyan & Great Hwy,CA,94117,349.76,77.86,0.01,-122.45598222,37.77374756
168,Tenderloin Children's Recreation Center,0.935,Activity Center,GGP2 Bowling Green Clubhouse,Stanyan & Great Hwy,CA,94117,"2,741.30",210.54,0.06,-122.45896828,37.76859841
83,Sigmund Stern Recreation Grove,0.9159999999999999,Basketball Court,Moscone Basketball Courts,1800 Chestnut St,CA,94123,"10,434.79",594.33,0.24,-122.43314293,37.80208974
