,Unnamed: 0,id,name,rating,address,city,lat,long,zip code
241,241,tasty-pot-newark,Tasty Pot,4.0,34909 Newark Blvd,Newark,37.5508,-122.0509,94555
242,242,icicles-newark,ICICLES,4.0,39055 Cedar Blvd,Newark,37.52314000000001,-122.00792,94560
243,243,che-lo-union-city-2,Che-Lo,4.5,1767 Decoto Blvd,Union City,37.5895628278523,-122.022492714298,94587
244,244,fusion-mix-frozen-yogurt-fremont-2,Fusion Mix Frozen Yogurt,4.5,4144 Walnut Ave,Fremont,37.5436017856673,-121.984061099299,94538
245,245,crepe-bar-newark,Crepe Bar,4.0,2078 Newpark Mall,Newark,37.5282308,-122.0002458,94560
246,246,q-cup-fremont,Q Cup,3.0,39129 Fremont Blvd,Fremont,37.5461699480404,-121.987401525697,94536
247,247,bambu-newark-2,BAMBU,3.5,6058 Mowry Ave,Newark,37.5236587144356,-122.007144735602,94560
248,248,bambu-union-city-2,BAMBU,3.5,31812-31822 Alvarado Blvd,Union City,37.59146031309321,-122.07111143456899,94587
249,249,storm-crepes-newark,Storm Crepes,4.5,39658 Cedar Blvd,Newark,37.5218169879729,-121.997366492815,94538
250,250,sweet-orchid-fremont,Sweet Orchid,4.5,34460 Fremont Blvd,Fremont,37.5751187606321,-122.038859706704,94587
251,251,jenjons-cafe-union-city,Jenjon's Cafe,4.0,1704 Decoto Rd,Union City,37.589058513675,-122.01876368886002,94587
252,252,k-pop-cafe-fremont,K-Pop Cafe,4.0,35041 Fremont Blvd,Fremont,37.570362,-122.0318791,94555
253,253,milkcow-fremont-2,Milkcow,3.5,5657 Auto Mall Pkwy,Fremont,37.50466,-121.97634,94538
254,254,boba-guys-san-carlos-2,Boba Guys,4.0,872 Laurel St,San Carlos,37.5027402543983,-122.25698015853901,94070
255,255,teaquation-redwood-city,Teaquation,4.5,1036 El Camino Real,Redwood City,37.483950944157705,-122.232653501548,94063
256,256,t4-hayward-3,T4,3.5,1033 B St,Hayward,37.6731435370977,-122.08203440297501,94544
257,257,sweet-spot-castro-valley,Sweet Spot,4.5,20669 Santa Maria Ave,Castro Valley,37.6960964188897,-122.07856502383899,94546
258,258,teaster-hayward-2,Teaster,3.5,410 W A St,Hayward,37.6660188062353,-122.108395027727,94541
259,259,sharetea-palo-alto-2,Sharetea,4.0,540 Bryant St,Palo Alto,37.445381,-122.160994,94301
260,260,chatime-redwood-city-2,Chatime,4.0,2202 Broadway St,Redwood City,37.487118,-122.229624,94063
261,261,eko-coffee-bar-and-tea-house-hayward,Eko Coffee Bar & Tea House,4.0,1075 B St,Hayward,37.673707008361795,-122.081397101283,94541
